,Artist,Title,Days,T10,Pk,x,PkStreams,Total
7205,Gordon,Might Be Wrong,2,94,13513,,24681,
7206,DNCE,Body Moves,11,69,4511,,24679,
7207,Ronghao Li,我知道是你,7,132,4209,,24673,
7208,Bodhi Huang,You Are The Apple Of My Eye,10,85,3742,,24672,
7209,Lady Gaga,Babylon,3,97,10964,,24646,
7210,ØZI,No Mind,7,71,6091,,24645,
7211,A/DA 阿達,大酷哥,8,102,4015,,24641,
7212,One Direction,What a Feeling,11,99,3033,,24631,
7213,呂莘,春,8,78,4488,,24603,
7214,瘦子E.SO,Tiffany,3,109,9706,,24560,
7215,Lady Gaga,1000 Doves,3,98,10777,,24543,
7216,Maggie Chiang,魚缸,2,181,12533,,24503,
7217,TWICE,HELL IN HEAVEN,3,116,9351,,24498,
7218,BTS,I Need U,9,140,8252,,24479,
7219,柯智棠,舞伴,6,74,6686,,24466,
7220,Sarah Jarosz,Build Me Up From Bones,21,95,1294,,24414,
7221,Victor Wong,言表,7,113,4280,,24413,
7222,Victor,"現在,你在哪裡?",12,77,2964,,24381,
7223,Tizzy T,冷戰,2,178,12239,,24352,
7224,Post Malone,Rich & Sad,8,122,3724,,24346,
7225,TAEYEON,Wildfire,3,106,10164,,24332,
7226,金莎,被風吹過的夏天,10,105,3069,,24317,
7227,Wu Bai,唯我獨大,6,80,6577,,24301,
7228,Ed Sheeran,1000 Nights,4,111,7410,,24276,
7229,Fall Out Boy,The Kids Aren't Alright,22,121,1183,,24265,
7230,GX (鼓鼓 呂思緯、蕭秉治),我是誰我是誰我是誰(GX版),2,187,12187,,24263,
7231,Shawn Mendes,Ruin,10,92,3781,,24254,
7232,ASTN,Last Christmas,2,165,12747,,24244,
7233,Alan Walker,Who I Am,2,176,12553,,24239,
7234,Nicole Millar,Tremble,9,74,4164,,24239,
7235,Gordon,yoyoyoyo,2,99,13148,,24237,
7236,Stray Kids,God’s Menu,4,136,7031,,24200,
7237,Joker Xue,Camel,6,79,6220,,24190,
7238,RM,forever rain,5,73,7492,,24185,
7239,SUPER JUNIOR,Animals,7,56,6697,,24179,
7240,RM,Still Life,2,87,13971,,24161,
7241,Mido and Falasol,Superstar,4,135,6126,,24135,
7242,Taio Cruz,Row The Body,5,60,7422,,24126,
7243,Ai Higuchi,Itterasshai,2,156,12530,,24123,
7244,繆以欣,你看到的我是藍色的,7,78,4836,,24120,
7245,Cigarettes After Sex,Sesame Syrup,6,67,6518,,24110,
7246,One Direction,Olivia,11,97,3087,,24102,
7247,Tiffany Young,What Do I Do,8,50,5884,,24100,
7248,Urban Cone,Old School,9,137,3353,,24049,
7249,Ariana Grande,Santa Tell Me,2,156,12648,,24045,
7250,A,do,6,71,6811,,24032,
7251,D.O.,Rose,4,150,6378,,24019,
7252,JJ Lin,愛笑的眼睛,9,74,4014,,24017,
7253,Fan Yi Chen,Piano,3,175,8541,,24010,
7254,Ariana Grande,make up,5,110,5056,,23960,
7255,Alan Walker,Sweet Dreams,4,143,6746,,23957,
7256,KARD,Bomb Bomb,5,105,6961,,23944,
7257,Yokez,想爱你,6,153,4852,,23941,
7258,Louis Tomlinson,Don't Let It Break Your Heart,3,106,8456,,23938,
7259,Meghan Trainor,FOOLISH,4,80,8906,,23937,
7260,TOMORROW X TOGETHER,Lonely Boy (The tattoo on my ring finger),3,111,8957,,23935,
7261,Kendrick Lamar,ELEMENT.,8,130,3451,,23927,
7262,頑童Mj116,HOT CHICK,6,188,4137,,23926,
7263,Paul Oakenfold,Shanghai Baby (Joyriders Remix),10,100,3494,,23911,
7264,TAEYEON,Galaxy,3,108,9985,,23904,
7265,MAMAMOO,Travel,3,117,9318,,23861,
7266,Epik High,Screen Time,2,177,12294,,23859,
7267,Justin Bieber,Second Emotion,4,135,6997,,23845,
